"glytoucan_ac","sequence_glycam_iupac"
"G00024MO","DGlcpb1-3DGlcpb1-3DGlcpb1-"
"G00025MO","DGlcpb1-4DGlcpb1-4DGlcpb1-4DGlcpb1-"
"G00027MO","DManpa1-3[DManpa1-6]DManpb1-4DGlcpNAcb1-"
"G00031MO","DGalpb1-3DGalpNAca1-"
"G00033MO","DGalpb1-3[DGlcpNAcb1-6]DGalpNAca1-"
"G00035MO","DGlcpNAcb1-3DGalpNAca1-"
"G00037MO","DGlcpNAcb1-3[DGlcpNAcb1-6]DGalpNAca1-"
"G00039MO","DGalpNAca1-3DGalpNAca1-"
"G00041MO","DGlcpNAcb1-6DGalpNAca1-"
"G00043MO","DGalpNAca1-6DGalpNAca1-"
"G00048MO","LFucpa1-2DGalpb1-3[LFucpa1-4]DGlcpNAcb1-"
"G00049MO","DGalpb1-3DGlcpNAcb1-3DGalpb1-4DGlcpb1-"
"G00050MO","LFucpa1-2DGalpb1-3DGlcpNAcb1-3DGalpb1-4DGlcpb1-"
"G00051MO","DGalpb1-4[LFucpa1-3]DGlcpNAcb1-"
"G00052MO","LFucpa1-2DGalpb1-4[LFucpa1-3]DGlcpNAcb1-"
"G00053MO","DNeup5Aca2-3DGalpb1-3[LFucpa1-4]DGlcpNAcb1-"
"G00054MO","DNeup5Aca2-3DGalpb1-4[LFucpa1-3]DGlcpNAcb1-"
"G00055MO","DGalpb1-4DGlcpNAcb1-"
"G00056MO","DGalpb1-3DGlcpNAcb1-"
"G00057MO","DGalpNAcb1-4DGlcpNAcb1-"
"G00058MO","DGalpb1-4DGlcpNAcb1-3DGalpb1-4DGlcpNAcb1-"
"G00059MO","DGalpa1-4DGalpb1-4DGlcpb1-"
"G00060MO","DGalpa1-4DGalpb1-4DGalpNAcb1-3DGalpb1-4DGlcpb1-"
"G00061MO","DGalpNAcb1-3DGalpa1-4DGalpb1-4DGlcpb1-"
"G00062MO","DNeup5Aca2-3[DGalpNAcb1-4]DGalpb1-4DGlcpNAcb1-3DGalpb1-"
"G00063MO","DNeup5Aca2-3[DGalpNAcb1-4]DGalpb1-3[DNeup5Aca2-6]DGalpNAcb1-"
"G00064MO","DGlcpNAca1-3DGalpNAcb1-3DGalpa1-4DGalpb1-4DGlcpb1-"
"G00065MO","DNeup5Aca2-3DGalpb1-4DGlcpNAcb1-"
"G00066MO","DGalpNAca1-3[LFucpa1-2]DGalpb1-"
"G00067MO","DGalpb1-3[LFucpa1-2]DGalpb1-"
"G00068MO","LFucpa1-2DGalpb1-"
"G00076PK","DGalpa1-4DGalpb1-4DGlcpNAcb1-"
"G00091RT","DManpa1-2DManpa1-3[DManpa1-2DManpa1-6]DManpa1-"
"G00094SE","DGalpa1-3DGalpNAca1-3[LFucpa1-2]DGalpb1-3[DGlcpNAcb1-3DGlcpNAcb1-6]DGalpNAca1-"
"G00123JF","DXylfb1-"
"G00152LK","DGlcpb1-3DGlcpb1-3DGlcpb1-3DGlcpa1-3DGlcpb1-3DGlcpb1-"
"G00153LJ","DGalpb1-2DGalpb1-2DGalpb1-"
"G00157WT","DGalpb1-3[LFucpa1-4]DGlcpNAcb1-3DGalpb1-4DGlcpNAcb1-6[DNeup5Aca2-3DGalpb1-3[LFucpa1-4]DGlcpNAcb1-3]DGalpb1-4DGlcpb1-"
"G00176HZ","DGlcpNAcb1-2[DGlcpNAcb1-4]DManpa1-3[DGlcpNAcb1-2[DGlcpNAcb1-6]DManpa1-6]DManpb1-4DGlcpNAcb1-4[LFucpa1-6]DGlcpNAcb1-"
"G00199JR","DManpa1-3DManpa1-6[DManpa1-3]DManpb1-4DGlcpNAca1-"
"G00272VU","DGalpb1-4[LFucpa1-3]DGlcpNAcb1-4DManpa1-3DManpb1-4DGlcpNAcb1-4[LFucpa1-6]DGlcpNAcb1-"
"G00294TN","LFucpa1-2DGalpb1-3DGlcpNAcb1-3DGalpb1-"
"G00320ZP","DNeup5Aca2-3DGalpb1-3[DNeup5Aca2-6]DGlcpNAcb1-2DManpa1-3[DNeup5Aca2-3DGalpb1-3DGlcpNAcb1-2DManpa1-6]DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-"
"G00335DM","DManpa1-2DManpa1-2DManpa1-6[DManpa1-2DManpa1-3]DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-"
"G00370EI","DNeup5Aca2-3DGalpb1-4DGlcpNAcb1-3DGalpb1-3DGalpb1-4DGlcpb1-"
"G00371DJ","DGalpb1-3[LFucpa1-4]DGlcpNAcb1-3DGalpNAca1-"
"G00395FS","DGlcpa1-4DGlcpa1-4DGlcpb1-"
"G00395TQ","DManpa1-6DManpb1-4DGlcpNAcb1-4[LFucpa1-6]DGlcpNAcb1-"
"G00399LG","DGalpNAca1-4DGlcpNAcb1-"
"G00413UF","DNeup5Aca2-6DGalpb1-4DGlcpNAcb1-2[DNeup5Aca2-6DGalpb1-4DGlcpNAcb1-4]DManpa1-3[DGalpb1-4DGlcpNAcb1-2DManpa1-6]DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-"
"G00459HM","DNeup5Aca2-3/6DGalpb1-4DGalpNAcb1-3DGalpb1-4DGlcpb1-"
"G00463XD","DGlcpNAcb1-2[DGlcpNAcb1-6]DManpa1-3[DGlcpNAcb1-2[DGlcpNAcb1-4]DManpa1-6][DGlcpNAcb1-4]DManpb1-4DGlcpNAcb1-4[LFucpa1-6]DGlcpNAcb1-"
"G00480KJ","DNeup5Aca2-6DGalpb1-4DGlcpNAcb1-2DManpa1-3[DGalpb1-4DGlcpNAcb1-2DManpa1-6]DManpb1-4DGlcpNAcb1-4[DFucpa1-6]DGlcpNAca1-"
