"glytoucan_ac","pubchem_id","sequence_smiles_isomeric"
"G31080DL","5779","C([C@@H]1[C@H]([C@H](C(O1)O)O)O)O"
"G15021LG","5793","C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)O)O)O"
"G03144EF","6027","C1[C@H]([C@@H]([C@H]([C@H](O1)O)O)O)O"
"G68158BT","6036","C([C@@H]1[C@@H]([C@@H]([C@H](C(O1)O)O)O)O)O"
"G84224TW","6134","C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](O[C@H]([C@@H]([C@H]2O)O)O)CO)O)O)O)O"
"G91625IP","6902","C1[C@H]([C@H]([C@@H](C(O1)O)O)O)O"
"G55954SF","11458","C([C@@H]1[C@@H]([C@@H]([C@H]([C@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)O)O)O)O)O)O)O)O"
"G82576YO","17106","C[C@H]1[C@H]([C@H]([C@@H](C(O1)O)O)O)O"
"G70323CJ","18950","C([C@@H]1[C@H]([C@@H]([C@@H](C(O1)O)O)O)O)O"
"G49108TO","24139","CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1O)CO)O)O"
"G27025MB","35717","CC(=O)N[C@@H]1[C@H]([C@H]([C@H](OC1O)CO)O)O"
"G71142DF","64689","C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O)O)O)O)O"
"G88438YV","65550","C([C@H]([C@@H]([C@@H](C=O)O)O)O)O"
"G16391NR","66308","C([C@H]([C@H]([C@@H](C=O)O)O)O)O"
"G58161NS","79025","C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O)O)O)O)O"
"G38427JR","80127","C([C@@H]([C@H]([C@@H]([C@@H](C=O)O)O)O)O)O"
"G69182II","82308","C([C@@H]([C@@H]([C@H]([C@H](C=O)O)O)O)O)O"
"G68544GH","82313","CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@@H]1O)CO)O)O"
"G57321FI","84265","CC(=O)N[C@@H]1[C@H]([C@H]([C@H](O[C@@H]1O)CO)O)O"
"G88362QR","84571","C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](O[C@@H]([C@@H]([C@H]2O)O)O)CO)O)O)O)O"
"G36445ON","84996","C([C@@H]([C@H]([C@H]([C@@H](C=O)O)O)O)O)O"
"G06080FF","90173","C([C@@H]([C@H]([C@H]([C@H](C=O)O)O)O)O)O"
"G23537ZN","90428","C([C@@H]([C@@H]([C@@H](C=O)O)O)O)O"
"G64863OF","94780","C([C@H]([C@H]([C@H]([C@@H](C=O)O)O)O)O)O"
"G41915IH","95259","C([C@@H]([C@H]([C@@H](C=O)O)O)O)O"
"G91689SS","99459","C([C@H]([C@@H]([C@@H]([C@@H](C=O)O)O)O)O)O"
"G64134SS","102288","C([C@H]([C@H]([C@H]([C@H](C=O)O)O)O)O)O"
"G59743JO","107526","C([C@H]([C@H]([C@@H]([C@H](C=O)O)O)O)O)O"
"G97146EI","111123","C([C@H]([C@@H]([C@H]([C@@H](C=O)O)O)O)O)O"
"G14987PW","111317","C([C@@H]([C@@H]([C@@H]([C@@H](C=O)O)O)O)O)O"
"G35674CY","113417","CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](OC1O)CO)O)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)C(=O)O)O)O)O"
"G73578JC","125128","CC(=O)N[C@@H]1[C@H](C[C@@](O[C@H]1[C@@H]([C@@H](CO)O)O)(C(=O)O)OC[C@@H]2[C@@H]([C@@H]([C@H]([C@@H](O2)O[C@@H]3[C@H](O[C@H]([C@@H]([C@H]3O)NC(=O)C)O)CO)O)O)O)O"
"G16579HJ","125409","C1[C@H]([C@@H]([C@H]([C@@H](O1)O)O)O)O"
"G06000DZ","133474","C([C@@H]1[C@@H]([C@@H]([C@H]([C@H](O1)O[C@H]2[C@H](O[C@H]([C@@H]([C@H]2O)O)O[C@@H]3[C@H](OC([C@@H]([C@H]3O)O)O)CO)CO)O)O)O)O"
"G53308XG","135191","C1[C@H]([C@@H]([C@H](C(O1)O)O)O)O"
"G19038KD","152109","C([C@@H]1[C@H]([C@@H]([C@@H]([C@@H](O1)O[C@@H]2[C@H](OC([C@H]([C@H]2O)O)O)CO)O)O)O)O"
"G26039ES","157355","C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@H]([C@@H](CO)O)[C@@H]([C@H](CO)O)O)O)O)O)O"
"G15704AX","161460","C[C@H]1[C@H]([C@H]([C@@H]([C@@H](O1)O[C@H]2[C@H]([C@H](O[C@H]([C@@H]2O)O[C@@H]3[C@H](OC([C@@H]([C@H]3O)O)O)CO)CO)O)O)O)O"
"G95531HX","161658","C([C@H]([C@H]([C@@H]([C@@H](C=O)O)O)O)O)O"
"G89565QL","165206","CC(=O)N[C@@H](CO)[C@H]([C@@H]([C@@H](CO)O)O)O"
"G61406KC","165880","CC(=O)N[C@@H](CO)[C@H]([C@H]([C@@H](CO)O)O)O"
"G79319EQ","167792","C([C@H]([C@@H]([C@H]([C@H](C=O)O)O)O)O)O"
"G61491DK","185698","C([C@@H]1[C@H]([C@@H]([C@@H]([C@H](O1)O)O)O)O)O"
"G96370VA","192826","C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](O[C@@H]([C@@H]([C@H]2O)O)O[C@@H]3[C@H](O[C@@H]([C@@H]([C@H]3O)O)O)CO)CO)O)O)O)O"
"G48558GR","196569","CC(=O)N[C@@H]1[C@H](C[C@@](O[C@H]1[C@@H]([C@@H](CO)O)O)(C(=O)O)O[C@@H]2[C@H]([C@@H](O[C@@H]([C@@H]2O[C@H]3[C@@H]([C@H]([C@H]([C@H](O3)CO)O)O[C@H]4[C@@H]([C@H]([C@H]([C@H](O4)CO)O)O)O)NC(=O)C)CO)O[C@@H]5[C@H](O[C@H]([C@@H]([C@H]5O)O)O)CO)O)O"
